"Description: ","Dates where TN>TX"
"Station: ","final_1971_2005_Athens_rcp85"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Date,Prec,TX,TN
1973-2-14,0.1215554688,6.74090000000001,6.78610000000003
1977-3-15,4.61078784,7.7405,8.08100000000002
1978-12-19,11.07923616,5.99630000000002,6.00730000000004
1979-11-28,6.685213824,11.923,13.0762
1979-12-3,1.306522656,7.43900000000002,7.57340000000005
1979-12-5,2.719935072,7.61540000000002,7.90070000000003
1979-12-6,0.01900559808,7.3562,7.59840000000003
1981-12-11,0.05732148384,8.01980000000003,8.56620000000004
1981-12-21,0.2661110496,5.21620000000001,5.53620000000001
1982-2-11,0.04392062784,-4.00549999999998,-2.44409999999999
1982-2-12,0.15846192,-2.49459999999999,-2.48609999999996
1990-1-15,2.10763728,2.75780000000003,3.12730000000005
1994-11-27,0.5176724256,8.0634,8.35320000000002
1996-1-3,0.07769837952,1.39530000000002,1.64620000000002
2002-12-11,12.60652896,12.6791,13.1967
2003-12-17,1.339183584,8.87120000000004,9.6182
2004-11-25,0.4665480768,7.78830000000005,7.8707
2005-2-15,0.0315671472,3.67850000000004,4.22329999999999
2005-2-16,1.058085504,3.3245,3.92530000000005
2007-2-28,2.148900192,4.37110000000001,4.40110000000004
2011-2-11,2.076582528,4.56830000000002,4.72180000000003
2015-12-17,0.03760867584,8.8999,8.94230000000005
2021-11-25,0.7940935872,7.5444,8.35160000000002
2024-12-3,2.363439168,10.4688,10.7743
2024-12-5,0.2661110496,7.75140000000005,8.77600000000001
2024-12-6,3.486613248,8.03800000000001,8.75440000000003
2024-12-7,0.924529248,6.37740000000002,6.89180000000005
2024-12-12,0.07797270816,-2.26889999999997,-0.929599999999994
2026-1-16,0.1116062496,0.172600000000045,0.20010000000002
2026-2-23,5.516449056,7.35120000000001,7.78180000000003
2026-2-24,0.4792539744,6.94100000000003,6.9622
2027-1-2,0.3476829312,1.9314,1.97590000000002
2027-12-12,8.191032768,14.0384,14.2359
2030-2-16,0.4030258464,8.71960000000001,8.84910000000002
2031-2-19,0.6976348992,5.83890000000002,5.92880000000002
2032-12-11,2.864205792,7.96300000000002,8.32330000000002
2032-12-19,0.1677700512,3.5514,3.63350000000003
2036-1-16,3.380411232,1.32690000000002,1.78280000000001
2042-3-15,20.47340448,11.0605,11.1381
2042-12-10,6.9926976,10.1219,10.2549
2042-12-12,0.7117698528,11.2653,11.2858
2043-12-7,22.5148896,12.5563,12.5997
2046-12-16,5.268074976,8.60230000000001,9.0908
2047-12-8,19.49329152,13.5697,13.5764
2047-12-16,3.155337504,10.3199,10.676
2058-2-25,9.46975968,11.7923,12.5554
2058-12-5,0.4804631424,7.79930000000002,8.78610000000003
2059-1-3,7.967611008,9.8168,9.8442
2066-12-7,0.5369183712,10.2053,10.6656
2066-12-24,0.05732148384,4.5582,4.60340000000002
2083-12-27,0.07797270816,7.12220000000002,7.13170000000002
2085-12-12,3.821503104,10.4654,10.4913
2086-12-16,1.671717312,13.4475,14.1941
2087-1-2,0,-0.235799999999983,0.0091000000000462
2088-12-3,3.118766976,11.3826,11.7405
2096-12-13,1.944589248,10.6623,10.9859
